timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600081618729,669,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-9,text,true,,432,117,55,55,http://xceltrip.com.np/,669,0,0
1600081619398,753,Visit homepage-1,200,OK,Thread Group 1 1-9,text,true,,8576,117,55,55,https://xceltrip.com.np/,738,0,0
1600081617808,2355,Choose room from some hotel,200,OK,Thread Group 1 1-14,text,true,,9009,386,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,561,0,0
1600081617808,561,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-14,text,true,,508,193,55,55,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,561,0,0
1600081618369,1794,Choose room from some hotel-1,200,OK,Thread Group 1 1-14,text,true,,8501,193,55,55,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1794,0,0
1600081618755,1449,Visit homepage,200,OK,Thread Group 1 1-34,text,true,,9008,234,55,55,https://xceltrip.com.np/,672,0,0
1600081618755,672,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-34,text,true,,432,117,55,55,http://xceltrip.com.np/,672,0,0
1600081618748,1456,Visit homepage,200,OK,Thread Group 1 1-26,text,true,,9008,234,55,55,https://xceltrip.com.np/,679,0,0
1600081618748,679,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-26,text,true,,432,117,55,55,http://xceltrip.com.np/,679,0,0
1600081619427,777,Visit homepage-1,200,OK,Thread Group 1 1-26,text,true,,8576,117,55,55,https://xceltrip.com.np/,777,0,0
1600081619427,777,Visit homepage-1,200,OK,Thread Group 1 1-34,text,true,,8576,117,55,55,https://xceltrip.com.np/,777,0,0
1600081618757,1448,Explore pokhara package,200,OK,Thread Group 1 1-42,text,true,,9133,484,55,55,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",671,0,0
